Id;Name;JapName;Shirt;ShirtNational;Commentary;Country;Country2;Height;Weight;Age;Foot;PlayingStyle;POS;GK;CB;LB;RB;DMF;CMF;LMF;RMF;AMF;LWF;RWF;SS;CF;OffensiveAwareness;BallControl;Dribbling;TightPossession;LowPass;LoftedPass;Finishing;Heading;PlaceKicking;Curl;Speed;Acceleration;KickingPower;Jump;PhysicalContact;Balance;Stamina;DefensiveAwareness;BallWinning;Aggression;GKAwareness;GKCatching;GKClearing;GKReflexes;GKReach;WeakFootUsage;WeakFootAcc;Form;InjuryResistance;Reputation;PlayingAttitude;Trickster;MazingRun;SpeedingBullet;IncisiveRun;LongBallExpert;EarlyCross;LongRanger;ScissorsFeint;DoubleTouch;FlipFlap;MarseilleTurn;Sombrero;CrossOverTurn;CutBehindAndTurn;ScotchMove;StepOnSkillcontrol;HeadingSpecial;LongRangeDrive;Chipshotcontrol;LongRangeShot;KnuckleShot;DippingShots;RisingShots;AcrobaticFinishing;HeelTrick;FirstTimeShot;OneTouchPass;ThroughPassing;WeightedPass;PinpointCrossing;OutsideCurler;Rabona;NoLookPass;LowLoftedPass;GKLowPunt;GKHighPunt;LongThrow;GKLongThrow;PenaltySpecialist;GKPenaltySaver;Gamesmanship;ManMarking;TrackBack;Interception;AcrobaticClear;Captaincy;SuperSub;FightingSpirit;Celebration1;Celebration2;DribblingHunching;DribblingArmMove.;RunningHunching;RunningArmMovement;CornerKicks;FreeKicks;PenaltyKick;DribbleMotion;YouthClub;OwnerClub;ContractUntil;LoanUntil;MarketValue;NationalCaps;Legend;Hand;WinnerGoldenBall;EditName;EditBasics;EditPosition;EditPositions;EditAbilities;EditPlayerSkills;EditPlayingStyle;EditCOMPlayingStyles;EditMovements;Edit1;Edit2;Edit3;Edit4;Edit5;Edit6;Edit7;Value1;Value2;Value3;Value2020_1;Value2020_2;Appearance;ListBoots;ListGloves;InEditFile;OverallStats
9;K. YAMASE;山瀬 功治;KOJI;KOJI;-1;13;0;175;73;41;False;14;5;0;0;0;0;1;2;1;2;1;0;0;0;1;63;73;71;71;74;71;68;61;69;69;62;63;70;60;62;68;67;60;61;60;40;40;40;40;40;3;3;7;2;4;1;False;False;False;False;False;False;True;True;True;False;False;False;False;True;False;True;False;False;False;True;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;0;2;6;1;6;1;1;1;2;0;0;30.6.2024. 0:00:00;1.1.0001. 0:00:00;0;11;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;0;0;False;65
52;S. ONO;小野 伸二;SHINJI;SHINJI;-1;13;0;175;74;43;False;5;8;0;0;0;0;1;1;1;0;2;0;0;1;0;66;81;72;71;81;73;65;65;70;72;56;55;63;61;60;64;59;56;54;49;40;40;40;40;40;3;3;3;1;5;1;False;False;False;False;False;False;False;False;True;False;True;False;False;True;False;True;False;False;True;False;False;False;False;False;False;False;True;True;True;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;123;0;1;1;1;1;6;7;5;1;0;0;30.6.2024. 0:00:00;1.1.0001. 0:00:00;250;22;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;0;0;False;64
84;H. YAMAMOTO;山本 英臣;YAMAMOTO;YAMAMOTO;-1;13;0;175;69;42;False;15;1;0;2;0;0;1;1;0;0;0;0;0;0;0;59;67;62;59;69;70;60;68;70;71;59;59;67;70;70;66;64;69;70;75;40;40;40;40;40;3;3;7;1;2;1;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;0;0;1;1;1;1;1;1;1;1;0;0;30.6.2024. 0:00:00;1.1.0001. 0:00:00;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;0;0;False;64
89;Y. MINAMI;南 雄太;MINAMI;MINAMI;-1;13;0;185;82;43;False;17;0;2;0;0;0;0;0;0;0;0;0;0;0;0;50;62;61;60;62;65;55;74;55;55;69;68;76;77;76;59;62;59;58;54;72;68;73;70;76;1;1;5;1;3;2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;True;False;False;0;0;1;1;1;1;1;1;1;1;0;0;30.6.2024. 0:00:00;1.1.0001. 0:00:00;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;0;605;False;65
250;Y. ENDO;遠藤 保仁;ENDO;ENDO;-1;13;0;178;75;42;False;20;5;0;0;0;0;1;2;0;0;1;0;0;0;0;64;79;66;72;79;79;62;65;77;78;55;61;62;62;63;72;68;66;59;60;40;40;40;40;40;1;2;7;2;4;1;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;True;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;11;0;1;3;1;1;1;16;3;1;0;0;30.6.2024. 0:00:00;1.1.0001. 0:00:00;1000;132;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;0;0;False;69
397;K. HOMMA;本間 幸司;KOJI;KOJI;-1;13;0;185;84;45;False;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;50;59;59;55;62;64;56;68;56;56;63;65;76;76;76;59;59;59;59;52;68;65;67;65;70;1;1;7;2;2;2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;True;False;False;0;0;1;1;1;1;1;1;1;1;0;0;30.6.2024. 0:00:00;1.1.0001. 0:00:00;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;0;605;False;60
673;T. HAYASHI;林 卓人;TAKUTO;TAKUTO;-1;13;0;188;83;40;False;17;0;2;0;0;0;0;0;0;0;0;0;0;0;0;50;65;59;58;67;68;56;68;56;57;69;67;81;78;81;65;64;59;56;55;76;76;73;70;75;1;1;7;2;3;2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;False;False;False;False;False;False;False;False;0;0;1;5;1;5;1;1;1;1;159;0;30.6.2024. 0:00:00;1.1.0001. 0:00:00;250;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;0;605;False;68
983;G. BUFFON;ジャンルイージ ブッフォン;BUFFON;BUFFON;-1;215;0;192;92;44;False;17;0;2;0;0;0;0;0;0;0;0;0;0;0;0;50;60;55;51;65;65;50;65;60;56;57;54;78;78;81;65;61;55;52;60;88;86;81;82;84;1;1;5;2;7;3;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;True;False;True;0;0;1;1;1;1;1;1;1;1;123;0;30.6.2024. 0:00:00;1.1.0001. 0:00:00;10000;175;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;3171;325;False;78
2489;E. KAWASHIMA;川島 永嗣;KAWASHIMA;KAWASHIMA;-1;13;0;185;82;39;False;17;0;2;0;0;0;0;0;0;0;0;0;0;0;0;50;58;56;51;60;62;50;71;55;54;61;61;76;80;78;60;61;57;52;51;77;77;78;78;76;1;1;5;1;4;2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;False;False;False;False;False;False;False;False;0;0;2;1;1;1;1;1;1;1;155;0;30.6.2023. 0:00:00;1.1.0001. 0:00:00;2000;95;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;3171;325;False;70
2506;PEPE REINA;ペペ レイナ;REINA;REINA;-1;236;0;188;92;40;False;16;0;2;0;0;0;0;0;0;0;0;0;0;0;0;50;67;56;66;68;78;50;60;60;58;66;64;82;80;78;65;64;54;56;54;82;81;81;85;82;1;2;5;1;6;2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;True;False;False;False;False;False;False;False;True;False;False;0;0;1;1;3;1;1;1;5;1;108;0;30.6.2023. 0:00:00;1.1.0001. 0:00:00;7000;36;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;3171;325;False;76
