Id;Name;JapName;Shirt;ShirtNational;Country;Height;Weight;Age
91;Hong Myung-bo;ヨン ウィソク;H B HONG;H B HONG;16;181;73;28
557;Park Ji-Sung;パク チソン;J.S. PARK;J.S. PARK;16;175;72;31
725;R. Keane;セオドール ポスフォード;KEANE;KEANE;214;180;80;31
729;R. Keane;ロビー キーン;KEANE;KEANE;214;175;73;29
793;R. Giggs;ライアン ギグス;GIGGS;GIGGS;241;180;68;28
815;D. Beckham;デイヴィッド ベッカム;BECKHAM;BECKHAM;204;183;76;30
816;P. Scholes;ポール スコールズ;SCHOLES;SCHOLES;204;170;70;27
817;M. Owen;バーニー ハーネス;OWEN;OWEN;204;173;70;22
818;A. Cole;アンディ コール;COLE;COLE;204;175;81;31
837;Rui Costa;ジョゼ ピレス;RUI COSTA;RUI COSTA;228;180;80;33
840;Luis Figo;ルイス フィーゴ;FIGO;FIGO;228;180;75;31
852;I. Casillas;カシージャス;I. CASILLAS;I. CASILLAS;236;185;84;29
853;F. Hierro;キケ デ ウルダネータ;HIERRO;HIERRO;236;187;84;31
857;J. Guardiola;グアルディオラ;GUARDIOLA;GUARDIOLA;236;181;76;28
865;Puyol;プジョル;PUYOL;PUYOL;236;178;80;30
872;Morientes;モリエンテス;MORIENTES;MORIENTES;236;186;79;28
875;M. Desailly;エタン ジルースト;DESAILLY;DESAILLY;208;185;85;33
877;B. Lizarazu;ビセンテ リザラズ;LIZARAZU;LIZARAZU;208;169;73;33
878;L. Thuram;メディ パージュ;THURAM;THURAM;208;182;70;38
879;E. Petit;エマヌエル プティ;PETIT;PETIT;208;185;75;31
880;P. Vieira;パトリック ヴィエラ;VIEIRA;VIEIRA;208;192;82;28
882;Y. Djorkaeff;ユーリ ジョルカエフ;DJORKAEFF;DJORKAEFF;208;178;72;33
883;Z. Zidane;アルド ド ミラボー;ZIDANE;ZIDANE;208;185;78;31
888;C. Makélélé;アダム ロニョン;MAKELELE;MAKELELE;208;174;70;33
892;L. Giuly;リュドヴィク ジュリ;GIULY;GIULY;208;164;62;31
919;J. Stam;ウィレム ヤン ハイスマン;STAM;STAM;224;191;91;32
926;P. Kluivert;パトリック クライファート;KLUIVERT;KLUIVERT;224;188;80;28
928;M. Overmars;スフイレル デ ハーン;OVERMARS;OVERMARS;224;175;72;31
962;F. Toldo;フランチェスコ トルド;TOLDO;TOLDO;215;196;90;37
963;P. Maldini;パオロ マルディーニ;MALDINI;MALDINI;215;186;85;29
965;F. Cannavaro;ドン トルナトーレ;CANNAVARO;CANNAVARO;215;176;75;30
970;F. Totti;フランチェスコ トッティ;TOTTI;TOTTI;215;180;82;28
972;F. Inzaghi;フィリッポ インザーギ;INZAGHI;INZAGHI;215;181;74;32
990;P. Nedvěd;パヴェル ネドヴェド;NEDVED;NEDVED;202;177;70;34
1001;T. Rosický;トマーシュ ロシツキー;ROSICKY;ROSICKY;202;178;65;36
1006;O. Kahn;オリヴァー カーン;KAHN;KAHN;210;188;91;37
1010;M. Ballack;ユストゥス レントゲン;BALLACK;BALLACK;210;189;80;29
1028;P. Schmeichel;ルドヴィ ブラーエ;SCHMEICHEL;SCHMEICHEL;203;193;96;32
1102;J. Litmanen;ニクラス ハルキモ;LITMANEN;LITMANEN;207;182;80;32
1248;S. Mihajlović;アンテ フラニッチ;MIHAJLOVIC;MIHAJLOVIC;303;185;75;32
1255;D. Stanković;デヤン スタンコヴィッチ;STANKOVIC;STANKOVIC;303;181;75;35
1275;C. Chivu;クリスティアン キヴ;CHIVU;CHIVU;229;184;81;32
1365;A. Shevchenko;レオニド ホンチャル;SHEVCHENKO;SHEVCHENKO;239;183;73;31
1475;J-J. Okocha;ロデリック エマニュエル;OKOCHA;OKOCHA;80;178;71;32
1476;N. Kanu;ヴィクター ルーシン;KANU;KANU;80;196;80;26
1499;P. M'Boma;ジュリアン ギィョーム;MBOMA;MBOMA;50;185;85;30
1555;J. Campos;アヨセ マウラ;CAMPOS;CAMPOS;124;175;70;31
1600;I. Córdoba;ゴンサロ ユベーロ;CORDOBA;CORDOBA;148;173;73;32
1621;Dida;ジーダ;DIDA;DIDA;146;195;85;33
1624;R. Carlos;ロベルト カルロス;R. CARLOS;R. CARLOS;146;168;73;32
1625;Cafú;カフー;CAFU;CAFU;146;176;75;35
1626;Émerson;イニーゴ メデイロス;EMERSON;EMERSON;146;182;80;28
1628;Rivaldo;リヴァウド;RIVALDO;RIVALDO;146;186;75;29
1630;Romário;ロマーリオ;ROMARIO;ROMARIO;146;169;72;31
1631;Ronaldinho;ロナウジーニョ ガウーショ;RONALDINHO;RONALDINHO;146;182;80;28
1632;Aldair;エリオドロ ノゲイラ;ALDAIR;ALDAIR;146;183;75;31
1674;M. Salas;マルセロ サラス;SALAS;SALAS;147;173;73;27
1675;I. Zamorano;イバン サモラーノ;ZAMORANO;ZAMORANO;147;178;78;34
1687;J. L. Chilavert;セベーロ オリーブ;CHILAVERT;CHILAVERT;150;192;90;36
1691;F. Arce;エドゥアルド ムント;ARCE;ARCE;150;178;77;30
1710;P. Montero;ハシント アモロルトゥ;MONTERO;MONTERO;152;179;74;33
